Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID	GO ID	Term	Code
0610005C13Rik	current symbol	MGI:1918911	0610005C13Rik	RIKEN cDNA 0610005C13 gene	lncRNA gene	ENSMUSG00000109644	71661	GO:0008150	biological_process	ND
0610005C13Rik	current symbol	MGI:1918911	0610005C13Rik	RIKEN cDNA 0610005C13 gene	lncRNA gene	ENSMUSG00000109644	71661	GO:0005575	cellular_component	ND
0610005C13Rik	current symbol	MGI:1918911	0610005C13Rik	RIKEN cDNA 0610005C13 gene	lncRNA gene	ENSMUSG00000109644	71661	GO:0003674	molecular_function	ND
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0030154	cell differentiation	IEA
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0043231	intracellular membrane-bounded organelle	IBA
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0005765	lysosomal membrane	IDA
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0005765	lysosomal membrane	IEA
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0005765	lysosomal membrane	ISO
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0005764	lysosome	IEA
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0016020	membrane	IEA
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0033689	negative regulation of osteoblast proliferation	ISO
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0033689	negative regulation of osteoblast proliferation	ISS
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0042177	negative regulation of protein catabolic process	ISO
0610007C21Rik	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene	ENSMUSG00000013622	381629	GO:0042177	negative regulation of protein catabolic process	ISS
